Номер,Біграма,Кількість,Частота
340,дс,2,0.000447
341,щм,2,0.000447
342,др,2,0.000447
343,нп,2,0.000447
344,еэ,2,0.000447
345,ау,2,0.000447
346,зю,2,0.000447
347,фу,2,0.000447
348,уг,2,0.000447
349,ен,2,0.000447
350,фб,2,0.000447
351,дч,2,0.000447
352,пэ,2,0.000447
353,жб,2,0.000447
354,шт,2,0.000447
355,ью,2,0.000447
356,чу,2,0.000447
357,жю,2,0.000447
358,шо,2,0.000447
359,мт,2,0.000447
360,жм,2,0.000447
361,вя,2,0.000447
362,цс,2,0.000447
363,рц,2,0.000447
364,оя,2,0.000447
365,пц,2,0.000447
366,шд,2,0.000447
367,ыц,2,0.000447
368,ьу,2,0.000447
369,кр,2,0.000447
370,чш,2,0.000447
371,лж,2,0.000447
372,цы,2,0.000447
373,аа,2,0.000447
374,мш,2,0.000447
375,ча,2,0.000447
376,ца,2,0.000447
377,яй,2,0.000447
378,ач,2,0.000447
379,зл,2,0.000447
380,зы,2,0.000447
381,йй,2,0.000447
382,хр,2,0.000447
383,рщ,2,0.000447
384,оэ,2,0.000447
385,ий,2,0.000447
386,юь,2,0.000447
387,цю,2,0.000447
388,тд,2,0.000447
389,йв,2,0.000447
390,бц,2,0.000447
391,цп,2,0.000447
392,ьг,2,0.000447
393,жн,2,0.000447
394,шр,2,0.000447
395,щб,2,0.000447
396,яш,2,0.000447
397,щж,2,0.000447
398,пы,2,0.000447
399,ху,2,0.000447
400,щц,1,0.000224
401,из,1,0.000224
402,ег,1,0.000224
403,уу,1,0.000224
404,пщ,1,0.000224
405,хс,1,0.000224
406,йщ,1,0.000224
407,гч,1,0.000224
408,хя,1,0.000224
409,кя,1,0.000224
410,хб,1,0.000224
411,лр,1,0.000224
412,нэ,1,0.000224
413,тх,1,0.000224
414,лл,1,0.000224
415,ця,1,0.000224
416,гф,1,0.000224
417,ию,1,0.000224
418,зь,1,0.000224
419,не,1,0.000224
420,рч,1,0.000224
421,вв,1,0.000224
422,уц,1,0.000224
423,юе,1,0.000224
424,аш,1,0.000224
425,йн,1,0.000224
426,ия,1,0.000224
427,лш,1,0.000224
428,ба,1,0.000224
429,чз,1,0.000224
430,щд,1,0.000224
431,ьз,1,0.000224
432,че,1,0.000224
433,сч,1,0.000224
434,ьф,1,0.000224
435,пф,1,0.000224
436,уф,1,0.000224
437,вю,1,0.000224
438,нм,1,0.000224
439,хь,1,0.000224
440,ык,1,0.000224
441,кн,1,0.000224
442,рд,1,0.000224
443,пг,1,0.000224
444,ьн,1,0.000224
445,бщ,1,0.000224
446,юю,1,0.000224
447,щэ,1,0.000224
448,юл,1,0.000224
449,ыа,1,0.000224
450,пс,1,0.000224
451,яс,1,0.000224
452,ща,1,0.000224
453,ее,1,0.000224
454,бс,1,0.000224
455,гс,1,0.000224
456,де,1,0.000224
457,шп,1,0.000224
458,ьб,1,0.000224
459,ый,1,0.000224
460,уо,1,0.000224
461,чо,1,0.000224
462,зк,1,0.000224
463,вк,1,0.000224
464,ос,1,0.000224
465,юж,1,0.000224
466,ак,1,0.000224
467,эг,1,0.000224
468,тс,1,0.000224
469,ан,1,0.000224
470,мч,1,0.000224
471,мл,1,0.000224
472,мы,1,0.000224
473,ов,1,0.000224
474,ьы,1,0.000224
475,эп,1,0.000224
476,чв,1,0.000224
477,бр,1,0.000224
478,тн,1,0.000224
479,ец,1,0.000224
480,пй,1,0.000224
481,жг,1,0.000224
482,пя,1,0.000224
483,уз,1,0.000224
484,зч,1,0.000224
485,аф,1,0.000224
486,жф,1,0.000224
487,му,1,0.000224
488,хф,1,0.000224
489,вэ,1,0.000224
490,сю,1,0.000224
491,фз,1,0.000224
492,рь,1,0.000224
493,ыф,1,0.000224
494,ун,1,0.000224
495,ах,1,0.000224
496,вщ,1,0.000224
497,юз,1,0.000224
498,ющ,1,0.000224
499,юс,1,0.000224
500,йп,1,0.000224
501,жщ,1,0.000224
502,зф,1,0.000224
503,щф,1,0.000224
504,по,1,0.000224
505,гй,1,0.000224
506,ещ,1,0.000224
507,кэ,1,0.000224
508,вг,1,0.000224
509,ды,1,0.000224
510,па,1,0.000224
511,оц,1,0.000224
512,гв,1,0.000224
513,йь,1,0.000224
514,фф,1,0.000224
515,йж,1,0.000224
516,рф,1,0.000224
517,ыр,1,0.000224
518,лб,1,0.000224
519,рр,1,0.000224
520,мг,1,0.000224
